StockCode,Description,Avg_Price,Min_Price,Max_Price,Total_Quantity,Total_Revenue,Transaction_Count,Competitor_A_Price,Competitor_B_Price,Competitor_C_Price,Market_Avg_Price,Price_vs_Market_Pct,Pricing_Flag
22751,FELTCRAFT PRINCESS OLIVIA DOLL,4.015970149253731,3.39,7.62,762,2888.73,194,3.79,4.08,4.65,4.17,-3.7, Competitive — Monitor
85184D,S/4 BLUE ROUND DECOUPAGE BOXES,3.3395774647887326,0.0,6.04,4098,2884.81,70,2.99,3.54,3.84,3.46,-3.5, Competitive — Monitor
22177,5 HOOK BLACKBOARD ORGANISER ,11.62912408759124,0.0,21.7,293,2884.41,136,10.02,11.77,13.3,11.7,-0.6, Competitive — Monitor
22689,DOORMAT MERRY CHRISTMAS RED ,7.941507936507937,0.0,16.98,344,2868.87,126,7.53,7.75,8.68,7.99,-0.6, Competitive — Monitor
72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,5.115942028985507,3.81,8.65,671,2866.07,135,4.78,5.36,5.66,5.27,-2.9, Competitive — Monitor
21913,VINTAGE SEASIDE JIGSAW PUZZLES,4.400487804878049,3.39,7.78,758,2861.12,161,3.8,4.43,4.69,4.31,2.1, Competitive — Monitor
84279P, CHERRY BLOSSOM  DECORATIVE FLASK,4.453455497382199,3.39,8.65,749,2860.03,190,4.2,4.15,5.16,4.5,-1.0, Competitive — Monitor
85114B,IVORY ENCHANTED FOREST PLACEMAT,2.0963694267515924,1.45,3.43,1598,2843.75,153,1.96,2.12,2.36,2.15,-2.5, Competitive — Monitor
22431,WATERING CAN BLUE ELEPHANT,2.3881848184818484,0.0,4.95,1344,2842.92,301,2.15,2.54,2.76,2.48,-3.7, Competitive — Monitor
20977,36 PENCILS TUBE WOODLAND,1.588132911392405,1.06,2.57,2114,2817.6,307,1.44,1.56,1.73,1.58,0.5, Competitive — Monitor
22530,MAGIC DRAWING SLATE DOLLY GIRL ,0.4950387596899225,0.36,1.0,6619,2817.04,253,0.44,0.48,0.54,0.49,1.0, Competitive — Monitor
84849B,FAIRY SOAP SOAP HOLDER,2.0172566371681415,1.45,3.43,1694,2810.88,225,1.73,1.9,2.22,1.95,3.4, Competitive — Monitor
84909A,PINK PAISLEY QUILT ,15.615151515151513,0.0,45.95,194,2797.55,33,13.8,14.74,16.46,15.0,4.1, Competitive — Monitor
22285,"DECORATION HEN ON NEST, HANGING",1.8177215189873417,0.0,3.43,1777,2792.83,148,1.69,1.8,2.0,1.83,-0.7, Competitive — Monitor
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,1.8007027027027027,0.0,2.57,1875,2790.77,181,1.53,1.83,2.11,1.82,-1.1, Competitive — Monitor
21901,"KEY FOB , BACK DOOR ",0.7457517899761337,0.53,1.7,4324,2784.77,397,0.66,0.7,0.88,0.75,-0.6, Competitive — Monitor
21495,SKULLS WRAP,0.41849765258215965,0.34,0.42,6715,2784.3,213,0.37,0.45,0.47,0.43,-2.7, Competitive — Monitor
21796,SET OF 3 RED STRIPE BASKETS,12.475882352941177,0.0,12.75,352,2782.19,68,11.27,12.99,13.95,12.74,-2.1, Competitive — Monitor
21470,FLOWER VINE RAFFIA FOOD COVER,4.2833854166666665,2.95,7.78,734,2777.1,188,4.03,4.34,4.52,4.3,-0.4, Competitive — Monitor
22600,CHRISTMAS RETROSPOT STAR WOOD,0.974,0.72,1.66,3261,2775.12,250,0.86,1.03,1.15,1.01,-3.6, Competitive — Monitor
21728,METAL MEDINA LANTERN ,13.030652173913042,0.0,26.04,290,2773.11,44,11.53,12.16,13.71,12.47,4.5, Competitive — Monitor
85049G,CHOCOLATE BOX RIBBONS ,1.334963768115942,0.0,2.57,1996,2766.96,269,1.23,1.33,1.59,1.38,-3.3, Competitive — Monitor
22141,CHRISTMAS CRAFT TREE TOP ANGEL,2.621437125748503,0.0,4.95,1002,2763.6200000000003,159,2.35,2.68,2.94,2.66,-1.4, Competitive — Monitor
20702,PINK PADDED MOBILE,4.291636363636363,3.75,8.47,657,2761.41,211,3.74,4.52,4.73,4.33,-0.9, Competitive — Monitor
46000S,POLYESTER FILLER PAD 40x40cm,1.4009661835748792,0.0,1.45,2504,2760.7999999999997,207,1.25,1.46,1.67,1.46,-4.0, Competitive — Monitor
21916,SET 12 RETRO WHITE CHALK STICKS,0.4892487046632124,0.36,1.0,6353,2757.44,374,0.42,0.47,0.52,0.47,4.1, Competitive — Monitor
84558A,3D DOG PICTURE PLAYING CARDS,3.157832167832168,2.55,6.04,963,2755.7700000000004,129,2.74,3.38,3.59,3.24,-2.5, Competitive — Monitor
22175,PINK OWL SOFT TOY,3.417380952380953,1.98,6.04,964,2751.9900000000002,205,3.08,3.21,3.87,3.39,0.8, Competitive — Monitor
22374,AIRLINE BAG VINTAGE JET SET RED,5.927181818181818,3.95,12.72,492,2750.85,218,5.29,6.28,6.42,6.0,-1.2, Competitive — Monitor
22491,PACK OF 12 COLOURED PENCILS,0.8910270270270271,0.72,2.51,3427,2749.96,181,0.84,0.96,0.99,0.93,-4.2, Competitive — Monitor
22145,CHRISTMAS CRAFT HEART STOCKING ,2.3160663507109005,0.0,4.3,1256,2748.46,203,2.05,2.2,2.66,2.3,0.7, Competitive — Monitor
35001W,HAND OPEN SHAPE DECO.WHITE,4.028855721393035,0.0,8.65,810,2745.33,195,3.66,4.17,4.67,4.17,-3.4, Competitive — Monitor
22128,PARTY CONES CANDY ASSORTED,1.608095238095238,1.06,12.72,2251,2744.56,123,1.47,1.49,1.69,1.55,3.7, Competitive — Monitor
22406,MONEY BOX KINGS CHOICE DESIGN,1.4264625850340136,1.06,2.95,2128,2737.74,140,1.21,1.4,1.7,1.44,-0.9, Competitive — Monitor
20665,RED SPOTTY PURSE ,3.6446948356807516,2.55,6.04,875,2736.7000000000003,210,3.34,3.65,3.92,3.64,0.1, Competitive — Monitor
22435,SET OF 9 HEART SHAPED BALLOONS,1.3856146179401994,1.06,2.51,2136,2733.74,285,1.2,1.4,1.5,1.37,1.1, Competitive — Monitor
84795C,OCEAN STRIPE HAMMOCK ,9.199191176470588,0.0,16.98,323,2728.7400000000002,135,8.7,9.84,10.02,9.52,-3.4, Competitive — Monitor
21564,PINK  HEART SHAPE LOVE BUCKET ,3.239065934065934,2.55,6.04,918,2725.3500000000004,180,2.8,3.33,3.42,3.18,1.9, Competitive — Monitor
15044D,RED PAPER PARASOL,3.5082432432432435,2.55,6.04,946,2725.15,146,3.13,3.5,3.75,3.46,1.4, Competitive — Monitor
85232D,SET/3 DECOUPAGE STACKING TINS,5.933352601156069,4.25,10.39,520,2719.2000000000003,165,5.09,6.23,7.11,6.14,-3.4, Competitive — Monitor
21896,POTTING SHED TWINE,2.5550520833333334,1.38,4.3,1420,2713.32,187,2.43,2.74,2.8,2.66,-3.9, Competitive — Monitor
84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,4.894,1.95,9.32,715,2712.81,167,4.41,4.52,5.22,4.72,3.7, Competitive — Monitor
22227,"DECORATION, HANGING HEART+MIRROR ",0.8872774869109947,0.55,1.3,3779,2708.6400000000003,369,0.81,0.96,0.95,0.91,-2.5, Competitive — Monitor
21846,PINK DIAMANTE PEN IN GIFT BOX,3.800057471264368,1.25,4.95,1210,2707.98,172,3.26,3.55,4.4,3.74,1.6, Competitive — Monitor
22594,CHRISTMAS GINGHAM TREE,1.053119658119658,0.72,1.66,3005,2694.2,233,0.97,1.11,1.24,1.11,-5.1, Competitive — Monitor
22862,LOVE HEART NAPKIN BOX ,4.732183908045977,3.75,8.47,611,2677.81,167,4.12,4.57,5.15,4.61,2.7, Competitive — Monitor
22136,LOVE HEART SOCK HANGER,2.013948717948718,1.45,3.43,1619,2664.89,189,1.89,1.9,2.12,1.97,2.2, Competitive — Monitor
21923,RED/CREAM STRIPE FRINGE HAMMOCK,8.430564516129033,0.0,17.35,378,2662.6400000000003,123,7.34,8.35,9.13,8.27,1.9, Competitive — Monitor
84580,MOUSE TOY WITH PINK T-SHIRT,3.8834113712374587,3.75,4.3,692,2662.27,291,3.37,3.97,4.11,3.82,1.7, Competitive — Monitor
21249,WOODLAND  HEIGHT CHART STICKERS ,3.5581045751633984,1.66,6.04,946,2655.6400000000003,151,3.04,3.49,3.79,3.44,3.4, Competitive — Monitor
18098C,PORCELAIN BUTTERFLY OIL BURNER,3.17943661971831,0.0,6.08,888,2646.21,200,2.85,2.95,3.54,3.11,2.2, Competitive — Monitor
21056,DOCTOR'S BAG SOFT TOY,9.422713178294574,7.95,17.35,295,2645.23,128,8.54,9.57,10.22,9.44,-0.2, Competitive — Monitor
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1.4665533980582526,0.38,2.57,2713,2644.91,202,1.26,1.56,1.65,1.49,-1.6, Competitive — Monitor
22107,PIZZA PLATE IN BOX,5.048173515981735,3.39,7.78,612,2637.49,216,4.68,4.95,5.49,5.04,0.2, Competitive — Monitor
21899,"KEY FOB , GARAGE DESIGN",0.7613172043010752,0.53,1.7,4096,2634.9100000000003,359,0.68,0.73,0.91,0.77,-1.1, Competitive — Monitor
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.926360544217687,0.85,1.95,2931,2626.45,274,0.84,0.92,1.1,0.95,-2.5, Competitive — Monitor
22075,6 RIBBONS ELEGANT CHRISTMAS ,1.8886740331491711,1.45,4.21,1584,2619.6,176,1.69,1.75,2.14,1.86,1.5, Competitive — Monitor
82597,BOMBS AWAY METAL SIGN,2.518061674008811,0.0,4.3,1044,2618.3700000000003,221,2.24,2.65,2.78,2.56,-1.6, Competitive — Monitor
72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,2.4033879781420766,1.69,4.3,1282,2609.51,179,2.18,2.53,2.66,2.46,-2.3, Competitive — Monitor
37502,TEA TIME MUG IN GIFT BOX,3.248166666666667,0.0,6.04,1212,2608.6400000000003,175,2.81,3.29,3.61,3.24,0.3, Competitive — Monitor
21864,UNION JACK FLAG PASSPORT COVER ,2.658857142857143,1.69,4.95,1116,2606.29,238,2.31,2.6,3.08,2.66,-0.0, Competitive — Monitor
84796B,BLUE SAVANNAH PICNIC HAMPER FOR 2,9.056271186440679,0.0,25.49,304,2606.2000000000003,57,8.48,9.49,10.12,9.36,-3.2, Competitive — Monitor
20886,BOX OF 9 PEBBLE CANDLES,2.3828054298642534,1.65,4.3,1307,2601.3199999999997,212,2.25,2.4,2.81,2.49,-4.3, Competitive — Monitor
85049B,LUSH GREENS RIBBONS,1.31374251497006,0.0,2.57,2009,2598.3,328,1.17,1.38,1.57,1.37,-4.1, Competitive — Monitor
72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,5.733100775193799,3.81,8.65,570,2592.8,128,5.03,5.85,6.31,5.73,0.1, Competitive — Monitor
22589,CARDHOLDER GINGHAM STAR,2.8717977528089884,2.1,5.06,992,2586.7999999999997,171,2.63,3.0,3.26,2.96,-3.0, Competitive — Monitor
22194,BLACK DINER WALL CLOCK,8.934227642276424,7.65,16.98,307,2586.41,123,7.96,9.08,9.51,8.85,1.0, Competitive — Monitor
21506,"FANCY FONT BIRTHDAY CARD, ",0.4686253369272237,0.36,1.0,6296,2586.21,363,0.4,0.46,0.51,0.46,1.9, Competitive — Monitor
21876,POTTERING MUG,1.8850312500000002,1.0,3.43,1889,2584.98,317,1.63,2.02,2.1,1.92,-1.8, Competitive — Monitor
22433,my error - connor,2.2570334928229663,0.0,4.21,-2788,2580.16,203,2.08,2.27,2.44,2.26,-0.1, Competitive — Monitor
22312,OFFICE MUG WARMER POLKADOT,4.842452830188679,2.55,8.65,671,2576.01,153,4.44,4.92,5.72,5.03,-3.7, Competitive — Monitor
22476,EMPIRE UNION JACK TV DINNER TRAY,6.451987577639751,0.0,11.02,476,2572.16,159,5.5,6.16,6.93,6.2,4.1, Competitive — Monitor
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,1.3102127659574467,1.06,2.95,1655,2571.63,46,1.14,1.34,1.47,1.32,-0.7, Competitive — Monitor
47503J,SET/3 FLORAL GARDEN TOOLS IN BAG,10.855384615384615,3.95,16.48,325,2568.33,77,9.48,10.98,12.38,10.95,-0.9, Competitive — Monitor
71038,WHITE HANGING BEADS CANDLE HOLDER,5.420093457943926,4.65,5.45,482,2566.1,105,4.97,5.15,6.25,5.46,-0.7, Competitive — Monitor
21360,JOY LARGE WOOD LETTERS,10.15494382022472,0.0,21.7,378,2564.19,88,8.65,9.44,11.25,9.78,3.8, Competitive — Monitor
22961,JAM MAKING SET PRINTED,1.633388429752066,0.0,3.36,1662,2563.06,119,1.41,1.66,1.93,1.67,-2.2, Competitive — Monitor
21653,GLASS ETCHED T-LIGHT HOLDER LARGE,2.2201612903225807,0.0,4.21,1108,2561.4700000000003,115,2.06,2.31,2.52,2.3,-3.5, Competitive — Monitor
22146,EASTER CRAFT IVY WREATH WITH CHICK,1.931025641025641,0.0,4.95,1382,2561.28,112,1.68,1.94,2.15,1.92,0.6, Competitive — Monitor
21589,SWALLOW GIANT TUBE MATCHES,2.4774725274725276,0.0,2.55,1084,2552.85,90,2.27,2.37,2.63,2.42,2.4, Competitive — Monitor
22610,PENS ASSORTED FUNNY FACE,1.0789333333333333,0.72,1.95,3113,2544.44,75,0.94,1.11,1.21,1.09,-1.0, Competitive — Monitor
35924,HANGING FAIRY CAKE DECORATION,2.832384615384615,1.69,4.3,1325,2538.85,125,2.44,2.64,3.32,2.8,1.2, Competitive — Monitor
22731,3D CHRISTMAS STAMPS STICKERS ,1.4881506849315067,1.06,3.36,1869,2538.17,142,1.3,1.47,1.7,1.49,-0.1, Competitive — Monitor
20787,BLUE RETRO BAR STOOL,32.01842105263158,0.0,76.55,-1,2535.1,35,29.53,30.29,37.62,32.48,-1.4, Competitive — Monitor
84509A,ENGLISH ROSE PLACEMATS,4.672209944751381,2.95,7.78,635,2529.86,180,4.37,4.44,5.25,4.69,-0.4, Competitive — Monitor
82581,TOILET METAL SIGN,0.6604990757855823,0.0,1.3,4074,2528.6600000000003,526,0.62,0.63,0.71,0.65,1.6, Competitive — Monitor
22960,mailout addition,4.615348837209303,0.0,8.47,587,2527.43,84,4.11,4.53,4.86,4.5,2.6, Competitive — Monitor
21987,PACK OF 6 SKULL PAPER CUPS,0.6959111111111111,0.35,1.66,4037,2525.46,218,0.64,0.65,0.76,0.68,2.3, Competitive — Monitor
22938,CUPCAKE LACE PAPER SET 6,2.0316326530612243,1.65,4.21,1379,2517.6699999999996,97,1.77,2.0,2.35,2.04,-0.4, Competitive — Monitor
21431,GREEN GINGHAM FLOWER JEWELLERY BOX,1.927027972027972,0.0,3.43,1376,2516.31,281,1.69,1.93,2.25,1.96,-1.7, Competitive — Monitor
79164,BLACK WINE GLASS,7.5465,0.48,21.7,1996,2516.24,79,7.09,7.53,8.26,7.63,-1.1, Competitive — Monitor
21473,SWEETHEART CREAM STEEL TABLE RECT,19.95,19.95,19.95,126,2513.7,72,16.98,19.58,22.43,19.66,1.5, Competitive — Monitor
21323,HANGING MEDINA LANTERN LARGE,5.369080459770115,0.0,8.65,726,2511.14,83,4.61,5.66,5.98,5.42,-0.9, Competitive — Monitor
22601,CHRISTMAS RETROSPOT ANGEL WOOD,0.9957261410788382,0.72,1.66,2943,2510.0099999999998,238,0.87,0.94,1.11,0.97,2.7, Competitive — Monitor
22574,HEART WOODEN CHRISTMAS DECORATION,1.027590909090909,0.72,1.95,2762,2508.0299999999997,216,0.88,1.03,1.11,1.01,1.7, Competitive — Monitor
21627,ELEPHANT CARNIVAL POUFFE,22.807066666666667,12.75,30.43,132,2507.2,74,19.8,21.21,24.41,21.81,4.6, Competitive — Monitor
21245,GREEN  SPOTTY PLATE ,1.8647849462365589,1.45,3.43,1507,2506.5099999999998,180,1.69,1.74,2.01,1.81,3.0, Competitive — Monitor
22747,POPPY'S PLAYHOUSE BATHROOM,2.2924120603015075,1.85,5.06,1125,2502.9700000000003,193,2.05,2.32,2.43,2.27,1.0, Competitive — Monitor
21324,HANGING MEDINA LANTERN SMALL,3.676441717791411,0.0,6.04,878,2499.05,154,3.45,3.72,3.97,3.71,-0.9, Competitive — Monitor
22148,EASTER CRAFT 4 CHICKS ,2.34504,0.0,4.95,1233,2498.4900000000002,119,2.18,2.49,2.47,2.38,-1.5, Competitive — Monitor
20960,WATERMELON BATH SPONGE,1.5952803738317756,0.0,2.57,1761,2498.43,211,1.41,1.61,1.83,1.62,-1.5, Competitive — Monitor
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,0.927542372881356,0.72,1.66,3102,2496.05,230,0.81,1.0,1.02,0.94,-1.3, Competitive — Monitor
16161P,WRAP ENGLISH ROSE ,0.41411167512690356,0.0,0.42,5852,2486.48,195,0.37,0.38,0.5,0.42,-1.4, Competitive — Monitor
37501,TEA TIME TEA SET IN GIFT BOX,7.484366197183099,0.0,14.74,671,2481.48,139,6.8,7.0,8.08,7.29,2.7, Competitive — Monitor
51014A,"FEATHER PEN,HOT PINK",1.106986301369863,0.0,1.7,2745,2480.5899999999997,146,0.97,1.03,1.22,1.07,3.5, Competitive — Monitor
85041,SET/4 PINK ORCHID CANDLES IN BOWL,1.75875,0.0,3.43,1856,2475.02,96,1.6,1.67,1.94,1.74,1.1, Competitive — Monitor
22291,"SPRING DEC , HANGING CHICK CREAM",1.6485999999999998,0.85,2.98,1882,2475.0099999999998,145,1.47,1.66,1.73,1.62,1.8, Competitive — Monitor
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,3.1252,0.0,5.91,835,2473.57,143,2.83,3.2,3.67,3.23,-3.2, Competitive — Monitor
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2.695424836601307,1.25,5.06,1119,2466.47,149,2.41,2.5,2.84,2.58,4.5, Competitive — Monitor
21203,BUTTERFLIES  HONEYCOMB GARLAND,2.0188815789473686,0.0,3.43,1434,2459.0499999999997,148,1.78,2.16,2.4,2.11,-4.3, Competitive — Monitor
84509F,NEW ENGLAND PLACEMATS,3.853404255319149,0.0,7.62,2758,2456.1,47,3.64,4.06,4.56,4.09,-5.8, Competitive — Monitor
84912A,PINK ROSE WASHBAG,3.6659006211180127,2.0,7.78,941,2447.07,160,3.4,3.55,4.14,3.7,-0.9, Competitive — Monitor
21330,WOODLAND ANIMAL  WRITING SET ,2.2416666666666667,0.0,3.43,1335,2445.8199999999997,204,1.94,2.09,2.54,2.19,2.4, Competitive — Monitor
85206A,CREAM FELT EASTER EGG BASKET,1.83,1.45,3.95,1372,2445.33,209,1.71,1.73,2.1,1.85,-1.1, Competitive — Monitor
22415,WHITE TISSUE REAM,7.95,7.95,7.95,307,2440.65,197,7.15,7.48,8.81,7.81,1.8, Competitive — Monitor
85206B,PINK FELT EASTER EGG BASKET,1.794627659574468,0.0,3.36,1485,2439.35,184,1.69,1.69,2.06,1.81,-0.8, Competitive — Monitor
22067,CHOC TRUFFLE GOLD TRINKET POT ,2.0804455445544554,1.45,3.43,1479,2436.9199999999996,195,1.93,2.09,2.2,2.07,0.5, Competitive — Monitor
21274,EMBOSSED HEART 3 DRAWER SHELF,14.470818181818181,0.0,25.49,164,2433.44,107,12.92,13.88,15.31,14.04,3.1, Competitive — Monitor
22687,DOORMAT CHRISTMAS VILLAGE,8.82939393939394,0.0,16.98,311,2430.45,99,7.52,8.63,9.88,8.68,1.7, Competitive — Monitor
21679,SKULLS  STICKERS,1.0115725806451612,0.72,1.7,2915,2427.89,243,0.89,1.09,1.15,1.04,-2.7, Competitive — Monitor
22445,PENCIL CASE LIFE IS BEAUTIFUL,3.4046583850931675,2.55,5.91,784,2427.36,152,3.08,3.51,4.03,3.54,-3.8, Competitive — Monitor
22284,HEN HOUSE DECORATION,1.9682777777777776,1.0,3.36,1541,2427.33,173,1.8,2.11,2.1,2.0,-1.6, Competitive — Monitor
22767,TRIPLE PHOTO FRAME CORNICE ,10.48532608695652,8.5,20.38,241,2424.56,90,9.18,9.89,12.3,10.46,0.2, Competitive — Monitor
22733,3D STICKERS TRADITIONAL CHRISTMAS ,1.5038787878787878,1.06,3.36,1923,2423.44,160,1.3,1.48,1.63,1.47,2.3, Competitive — Monitor
72802A,ROSE SCENT CANDLE IN JEWELLED BOX,4.352985074626865,3.81,8.47,581,2422.77,131,4.06,4.39,4.83,4.43,-1.7, Competitive — Monitor
10135,COLOURING PENCILS BROWN TUBE,1.4196273291925465,1.06,2.57,2032,2422.71,160,1.35,1.32,1.56,1.41,0.7, Competitive — Monitor
22459,CAST IRON HOOK GARDEN TROWEL,2.8135443037974683,0.0,5.95,1016,2422.39,155,2.54,2.59,3.12,2.75,2.3, Competitive — Monitor
22725,ALARM CLOCK BAKELIKE CHOCOLATE,4.577162162162162,3.39,8.95,594,2417.85,142,3.97,4.7,4.91,4.53,1.0, Competitive — Monitor
21328,BALLOONS  WRITING SET ,2.2708734939759037,1.25,3.43,1193,2417.45,320,1.99,2.32,2.56,2.29,-0.8, Competitive — Monitor
22736,"RIBBON REEL, MAKING SNOWMEN ",2.0428110599078337,1.45,4.21,1390,2410.48,211,1.74,2.01,2.39,2.05,-0.4, Competitive — Monitor
21924,BLUE/CREAM STRIPE FRINGE HAMMOCK,8.400461538461538,0.0,17.35,334,2407.1600000000003,129,7.91,8.39,9.38,8.56,-1.9, Competitive — Monitor
20982,12 PENCILS TALL TUBE SKULLS,0.9574425287356322,0.72,1.7,2747,2403.08,334,0.83,0.94,1.08,0.95,0.8, Competitive — Monitor
21466,RED FLOWER CROCHET FOOD COVER,4.0389880952380945,2.95,7.78,633,2400.4,167,3.67,3.73,4.76,4.05,-0.3, Competitive — Monitor
22458,CAST IRON HOOK GARDEN FORK,2.780314465408805,0.0,5.95,1017,2399.12,157,2.44,2.71,3.21,2.79,-0.3, Competitive — Monitor
22184,CAKE STAND VICTORIAN FILIGREE LARGE,9.234,3.95,17.35,329,2399.05,129,8.36,8.76,10.38,9.17,0.7, Competitive — Monitor
22603,CHRISTMAS RETROSPOT TREE WOOD,1.013347280334728,0.72,1.66,2836,2398.48,235,0.93,0.95,1.1,0.99,2.4, Competitive — Monitor
16161U,"WRAP,SUKI AND FRIENDS",0.4170212765957446,0.34,0.42,5951,2397.42,188,0.39,0.45,0.49,0.44,-5.2, Competitive — Monitor
84840,SWEETHEART CARRY-ALL BASKET,8.875845070422535,0.0,16.98,229,2396.82,141,7.73,9.02,10.09,8.95,-0.8, Competitive — Monitor
21447,12 IVORY ROSE PEG PLACE SETTINGS,1.5500999999999998,1.06,2.57,1830,2394.54,193,1.32,1.61,1.68,1.54,0.7, Competitive — Monitor
22334,DINOSAUR PARTY BAG + STICKER SET,1.6964161849710981,0.0,4.38,1524,2390.0,169,1.47,1.65,1.85,1.66,2.2, Competitive — Monitor
72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,4.562307692307692,3.81,8.47,558,2384.46,141,4.29,4.48,5.34,4.7,-2.9, Competitive — Monitor
15039,SANDALWOOD FAN,1.0567857142857142,0.53,1.7,3027,2381.39,165,0.99,1.01,1.12,1.04,1.6, Competitive — Monitor
22796,PHOTO FRAME 3 CLASSIC HANGING,10.631894736842105,8.5,21.23,235,2376.29,94,9.67,9.95,12.75,10.79,-1.5, Competitive — Monitor
21866,UNION JACK FLAG LUGGAGE TAG,1.6239310344827587,1.06,3.36,1452,2376.2599999999998,274,1.48,1.54,1.74,1.59,2.1, Competitive — Monitor
47570,ENGLISH ROSE TABLE CLOTH,11.788048780487806,0.0,21.7,99,2373.01,81,10.8,12.35,13.79,12.31,-4.2, Competitive — Monitor
70006,LOVE HEART POCKET WARMER,2.156701030927835,0.79,3.43,1777,2371.45,184,1.87,2.22,2.39,2.16,-0.2, Competitive — Monitor
20674,GREEN SPOTTY BOWL,1.4617777777777778,1.06,2.57,1877,2371.26,266,1.38,1.47,1.64,1.5,-2.5, Competitive — Monitor
22596,CHRISTMAS STAR WISH LIST CHALKBOARD,0.8463829787234043,0.0,1.66,2854,2369.2799999999997,182,0.75,0.84,1.0,0.86,-1.6, Competitive — Monitor
21469,POLKA DOT RAFFIA FOOD COVER,4.0396,1.25,7.78,835,2366.69,125,3.59,4.31,4.49,4.13,-2.2, Competitive — Monitor
21272,SALLE DE BAIN HOOK,1.6018823529411763,1.06,2.57,1820,2366.08,248,1.44,1.49,1.81,1.58,1.4, Competitive — Monitor
22309,TEA COSY RED  STRIPE,3.274522292993631,2.1,5.17,948,2357.43,155,2.8,3.16,3.46,3.14,4.3, Competitive — Monitor
22791,T-LIGHT GLASS FLUTED ANTIQUE,1.4987394957983193,1.06,2.51,1906,2356.58,115,1.3,1.46,1.57,1.44,4.1, Competitive — Monitor
22320,BIRDS MOBILE VINTAGE DESIGN,6.147391304347827,5.45,12.13,399,2338.25,114,5.68,6.43,6.68,6.26,-1.8, Competitive — Monitor
21437,24 HANGING EASTER EGGS FLORAL TUB,3.9011764705882355,0.0,7.62,623,2335.92,113,3.35,4.21,4.49,4.02,-3.0, Competitive — Monitor
20981,12 PENCILS TALL TUBE WOODLAND,0.9636971830985915,0.72,1.7,2746,2332.72,279,0.88,0.92,1.03,0.94,2.5, Competitive — Monitor
21246,RED SPOTTY BIG BOWL,5.527844827586207,4.25,11.26,459,2329.05,116,4.83,5.86,5.9,5.53,-0.0, Competitive — Monitor
21540,DAIRY MAID CERAMIC BUTTER DISH,4.6253,0.0,8.65,1277,2321.95,98,4.11,4.87,5.14,4.71,-1.8, Competitive — Monitor
22839,"CAKE TIN, 3 TIER MINT/IVORY",17.3125974025974,12.75,29.79,148,2319.72,76,15.22,16.55,19.86,17.21,0.6, Competitive — Monitor
46000M,POLYESTER FILLER PAD 45x45cm,1.4701716738197426,0.0,1.55,2135,2318.8,233,1.3,1.45,1.7,1.48,-0.7, Competitive — Monitor
22314,OFFICE MUG WARMER CHOC+BLUE,4.772941176470589,2.55,8.65,590,2316.86,133,4.4,4.7,5.14,4.75,0.5, Competitive — Monitor
22222,CAKE PLATE LOVEBIRD WHITE,5.820210526315789,4.25,10.39,437,2305.3900000000003,189,5.12,6.27,6.18,5.86,-0.7, Competitive — Monitor
22475,SKULL DESIGN TV DINNER TRAY,6.157109375,3.74,11.02,459,2305.11,126,5.58,5.84,7.33,6.25,-1.5, Competitive — Monitor
21482,MUSHROOM BLUE HOT WATER BOTTLE,3.5554922279792747,0.0,6.04,606,2290.86,188,3.19,3.73,3.87,3.6,-1.2, Competitive — Monitor
21709,FOLDING UMBRELLA  CHOC/WHITE  SPOT,5.604754098360655,1.95,10.39,567,2289.29,60,5.14,5.46,6.6,5.73,-2.2, Competitive — Monitor
85049D,BRIGHT BLUES RIBBONS ,1.3277524429967427,1.06,2.57,1829,2285.47,298,1.25,1.38,1.57,1.4,-5.2, Competitive — Monitor
21812,GARLAND WITH HEARTS AND BELLS,6.072905982905983,4.95,10.39,429,2276.25,114,5.61,6.0,7.08,6.23,-2.5, Competitive — Monitor
22281,EASTER TREE YELLOW BIRDS,8.008351648351649,0.0,13.0,364,2273.12,90,6.98,8.11,8.61,7.9,1.4, Competitive — Monitor
21467,CHERRY CROCHET FOOD COVER,4.046459627329193,1.25,7.78,764,2270.61,157,3.45,4.26,4.75,4.15,-2.5, Competitive — Monitor
22494,EMERGENCY FIRST AID TIN ,1.5155691056910567,1.06,2.51,1760,2269.96,243,1.33,1.59,1.77,1.56,-2.8, Competitive — Monitor
22653,BUTTON BOX ,2.2400680272108846,1.65,4.21,1167,2269.89,146,2.04,2.37,2.55,2.32,-3.4, Competitive — Monitor
85049C,ROMANTIC PINKS RIBBONS ,1.3219127516778524,0.0,2.57,1655,2268.11,289,1.13,1.23,1.45,1.27,4.1, Competitive — Monitor
21055,TOOL BOX SOFT TOY ,10.544374999999999,8.95,17.35,226,2267.67,126,9.49,10.87,11.49,10.62,-0.7, Competitive — Monitor
